epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.2522,0.82065,10.43,0.68073,0.77692,1.26901,0.88742,0.97596,0.9481,0.70848,0.00376,0.00476,0.00011,2e-05,0.70707,9.48045,0.47425,0.85625,1.34545,0.00065942,0.00065942,0.00065942
2,14.8006,0.72491,8.71265,0.62343,0.58259,1.15682,0.94509,0.98352,0.99212,0.83058,0.01734,0.01905,0.00044,5e-05,0.66075,7.29008,0.41952,0.80112,1.18853,0.00106352,0.00106352,0.00106352
3,20.9935,0.70874,7.73987,0.60495,0.56897,1.1642,0.95792,0.97552,0.99112,0.79822,0.05761,0.04762,0.00659,0.00082,0.73068,6.5045,0.46533,0.51509,1.29532,0.00120362,0.00120362,0.00120362
4,27.024,0.6442,7.01842,0.58536,0.50632,1.12388,1,0.98433,0.995,0.84986,0.133,0.12857,0.02512,0.00313,0.60842,5.5206,0.46269,0.42843,1.14386,0.000812,0.000812,0.000812
5,33.122,0.57072,6.33144,0.56598,0.44457,1.08607,0.99704,0.98095,0.99486,0.90944,0.37047,0.37619,0.19298,0.02733,0.43936,4.87621,0.4681,0.29479,0.97151,0.000416,0.000416,0.000416
