epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,1007.53,0.96525,5.72916,0.20198,0.54254,1.07519,0.91589,0.74706,0.82732,0.46836,0.30305,0.14474,0.10193,0.02499,1.50225,7.02926,0.12355,0.69543,1.4005,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1052.13,0.96401,5.71964,0.19968,0.54135,1.07454,0.90163,0.75394,0.85233,0.49795,0.35431,0.1459,0.12999,0.03122,1.49342,6.94434,0.10994,0.71225,1.39962,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1096.76,0.94893,5.62992,0.19712,0.52562,1.06919,0.9141,0.76697,0.8509,0.48339,0.34374,0.14879,0.11262,0.02571,1.45987,6.96748,0.1065,0.7036,1.35256,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1141.46,0.94991,5.60632,0.19526,0.53275,1.06638,0.8997,0.78723,0.87686,0.52436,0.32526,0.15111,0.13264,0.03279,1.44066,6.8428,0.10867,0.68221,1.32911,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1185.95,0.94902,5.58911,0.19325,0.53182,1.06604,0.89372,0.75826,0.85271,0.49668,0.32649,0.1404,0.12066,0.02916,1.53679,7.19401,0.12376,0.73545,1.42878,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1230.51,0.93484,5.53529,0.19149,0.52506,1.05876,0.91962,0.78564,0.87765,0.50884,0.3265,0.14257,0.10925,0.02566,1.4821,7.01238,0.10337,0.66962,1.37931,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1275.17,0.93464,5.51402,0.1915,0.52063,1.06064,0.8856,0.79621,0.85925,0.47932,0.29117,0.1485,0.11265,0.0285,1.51876,6.97838,0.10624,0.64873,1.41581,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1319.65,0.92553,5.47176,0.19035,0.52145,1.05759,0.8918,0.78202,0.85018,0.47577,0.28445,0.14662,0.1025,0.02661,1.49692,6.91689,0.10884,0.66125,1.40501,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1364.95,0.92705,5.44825,0.18729,0.51823,1.05454,0.89122,0.79404,0.87134,0.5033,0.30085,0.14127,0.10809,0.02591,1.5004,7.06519,0.11269,0.6635,1.40839,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1409.47,0.92939,5.45396,0.18654,0.51995,1.05516,0.88934,0.79548,0.85919,0.49906,0.28448,0.14517,0.10639,0.02702,1.47608,6.93553,0.10902,0.65029,1.355,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1453.99,0.92335,5.42604,0.18481,0.51615,1.0544,0.91584,0.76639,0.86282,0.50284,0.31164,0.14908,0.12576,0.03131,1.48702,6.92123,0.11122,0.65358,1.392,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1498.5,0.91352,5.34829,0.18279,0.5088,1.04825,0.90257,0.77094,0.8579,0.49762,0.30923,0.13794,0.12124,0.02842,1.52732,7.07401,0.10499,0.66803,1.41299,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1542.99,0.91581,5.32272,0.18211,0.50921,1.05203,0.91669,0.78043,0.87484,0.50626,0.28373,0.15444,0.12142,0.02897,1.47775,6.85752,0.10402,0.62827,1.38507,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1587.38,0.91309,5.29664,0.17996,0.51227,1.04902,0.90751,0.77537,0.86145,0.50865,0.3091,0.15241,0.13344,0.03527,1.47009,6.81624,0.10455,0.62917,1.37777,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1631.99,0.90903,5.28894,0.17978,0.50732,1.04606,0.91666,0.77421,0.86415,0.49816,0.28786,0.15082,0.11992,0.02898,1.48924,6.98536,0.10205,0.65341,1.38184,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1676.64,0.90381,5.24037,0.17822,0.5051,1.04355,0.89124,0.79273,0.8809,0.52,0.30299,0.14937,0.12378,0.02902,1.44122,6.87028,0.09775,0.65922,1.35356,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1721.24,0.89412,5.1809,0.17644,0.49852,1.03756,0.91871,0.76205,0.84944,0.48554,0.28164,0.14503,0.10998,0.02971,1.51247,6.98854,0.10793,0.66539,1.40867,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
