epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1589.47,0.78736,0.3368,0.03132,0.02114,0.98627,0.98435,0.99417,0.90572,0.51416,0.1789,0.02385,0.01702,0.0005744,0.0005744,0.0005744
38,1631.04,0.78323,0.33768,0.03114,0.02362,0.99246,0.9863,0.99441,0.90373,0.52092,0.17122,0.02396,0.01801,0.0005348,0.0005348,0.0005348
39,1672.37,0.77734,0.34688,0.0315,0.0227,0.99169,0.98028,0.9941,0.90675,0.50793,0.17773,0.02348,0.01726,0.0004952,0.0004952,0.0004952
40,1716.2,0.78307,0.33249,0.03155,0.02046,0.99214,0.97123,0.99371,0.9016,0.51759,0.18893,0.02393,0.01769,0.0004556,0.0004556,0.0004556
41,1757.73,0.51788,0.17535,0.02117,0.01405,0.9866,0.98904,0.99448,0.90633,0.51217,0.17271,0.02355,0.01681,0.000416,0.000416,0.000416
42,1799.11,0.51395,0.17042,0.02121,0.01304,0.99335,0.98904,0.99459,0.90507,0.51633,0.16655,0.02369,0.01624,0.0003764,0.0003764,0.0003764
43,1840.67,0.50709,0.16661,0.02035,0.01345,0.99043,0.99269,0.99456,0.9087,0.5079,0.16688,0.0232,0.01688,0.0003368,0.0003368,0.0003368
44,1882.54,0.50159,0.1637,0.02018,0.01229,0.99179,0.99278,0.99246,0.90757,0.50418,0.16333,0.02306,0.0169,0.0002972,0.0002972,0.0002972
45,1926.38,0.49955,0.15672,0.02014,0.01275,0.98628,0.99726,0.99337,0.90632,0.50843,0.16286,0.02343,0.0167,0.0002576,0.0002576,0.0002576
46,1967.8,0.49767,0.15162,0.02016,0.01221,0.98908,0.99278,0.99469,0.91378,0.49743,0.15715,0.02275,0.01665,0.000218,0.000218,0.000218
47,2009.9,0.49554,0.15789,0.01973,0.01235,0.98975,0.99589,0.99451,0.90761,0.51305,0.16602,0.02338,0.01715,0.0001784,0.0001784,0.0001784
48,2051.25,0.48829,0.15523,0.02002,0.01249,0.99722,0.98346,0.99454,0.91216,0.50162,0.1655,0.02287,0.01682,0.0001388,0.0001388,0.0001388
49,2092.71,0.48846,0.14789,0.01977,0.01232,0.99447,0.9845,0.99465,0.91449,0.49777,0.16381,0.02259,0.01689,9.92e-05,9.92e-05,9.92e-05
50,2136.18,0.48217,0.15,0.01924,0.01131,0.99176,0.98963,0.99471,0.91139,0.49924,0.16488,0.02265,0.0164,5.96e-05,5.96e-05,5.96e-05
