epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,7659.64,0.68858,2.46996,0.17823,0.28006,0.00738,2.52044,0.92936,0.84922,0.91994,0.6894,0.73857,0.5892,0.6103,0.17469,0.87006,3.94062,0.11739,0.4506,0.01213,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7969.43,0.68297,2.43464,0.17403,0.28149,0.00733,2.47048,0.9366,0.82812,0.9029,0.64918,0.71353,0.57342,0.58084,0.17882,0.97523,3.93726,0.11359,0.48667,0.01404,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,8277.63,0.67443,2.39604,0.17132,0.27537,0.00722,2.39311,0.93931,0.83337,0.91656,0.68113,0.72724,0.56819,0.61333,0.18205,0.91902,3.98184,0.1105,0.48043,0.01312,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,8582.18,0.66504,2.36351,0.16991,0.27614,0.0071,2.34366,0.94279,0.83697,0.92016,0.67691,0.7104,0.55908,0.5872,0.17228,0.94109,4.1136,0.1158,0.46891,0.01337,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,8886.76,0.66479,2.34159,0.1667,0.27859,0.00709,2.33427,0.94454,0.83538,0.91437,0.64037,0.72569,0.57986,0.59404,0.17472,0.99569,3.9311,0.10902,0.48237,0.01423,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,9191.84,0.65751,2.30803,0.16673,0.27201,0.00699,2.22384,0.9454,0.84747,0.91743,0.64426,0.72359,0.58609,0.60069,0.18274,0.99916,3.93225,0.1154,0.46561,0.01442,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,9498.25,0.65031,2.21905,0.16277,0.26371,0.00692,2.11749,0.93938,0.85708,0.91223,0.65181,0.70776,0.56804,0.56241,0.16557,0.95316,4.05061,0.11682,0.45839,0.0137,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,9803.14,0.63472,2.20378,0.1611,0.25887,0.00674,2.11537,0.94535,0.85345,0.90745,0.64274,0.71086,0.54548,0.54042,0.16067,0.93445,4.06062,0.11526,0.44433,0.01336,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,10107.8,0.63848,2.19435,0.16145,0.26025,0.00683,2.0645,0.94733,0.86378,0.93725,0.69719,0.72131,0.55485,0.59477,0.18285,0.87454,3.99177,0.10628,0.40751,0.01236,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,10414.8,0.6309,2.14314,0.15784,0.25629,0.00667,1.9555,0.93511,0.82244,0.89574,0.63983,0.71226,0.56455,0.56859,0.16948,1.02417,3.99432,0.10363,0.51616,0.01494,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,10719.5,0.6281,2.13137,0.15687,0.25378,0.00664,1.96063,0.93815,0.84456,0.912,0.66395,0.72845,0.56102,0.58971,0.17972,0.95009,3.9651,0.1069,0.49794,0.01361,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,11024.4,0.6205,2.09912,0.1552,0.25107,0.0066,1.93399,0.94596,0.82035,0.89373,0.66007,0.70013,0.53471,0.53881,0.16723,0.92855,4.06829,0.11565,0.52142,0.01332,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,11333.6,0.61458,2.05646,0.1534,0.25014,0.00648,1.82546,0.94954,0.84078,0.90448,0.64721,0.73337,0.59206,0.58347,0.17229,0.94136,3.92885,0.10745,0.47477,0.01347,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,11638.3,0.61163,2.0482,0.15336,0.24968,0.00644,1.79981,0.9386,0.84764,0.91707,0.6669,0.73232,0.58571,0.60516,0.19104,0.94098,3.89859,0.11232,0.46515,0.01343,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11943.1,0.60499,2.02404,0.15355,0.24758,0.00635,1.73735,0.93052,0.83426,0.89991,0.66313,0.70335,0.55407,0.55932,0.17492,0.93752,4.02836,0.11204,0.49946,0.0135,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,12248.2,0.60385,1.99222,0.15232,0.24764,0.00638,1.70468,0.93662,0.84095,0.90809,0.6832,0.72252,0.57837,0.59119,0.18387,0.87055,3.95826,0.11413,0.47949,0.01243,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,12555.8,0.60231,1.98663,0.15105,0.24816,0.00631,1.69091,0.93803,0.81955,0.90792,0.68665,0.72659,0.54999,0.60293,0.19203,0.90858,3.99509,0.11412,0.51129,0.01302,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,12864.2,0.59551,1.94912,0.15113,0.24663,0.00624,1.60001,0.94269,0.83075,0.90909,0.69108,0.71552,0.56862,0.60215,0.18872,0.88031,3.98993,0.11036,0.46383,0.0126,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,13208.6,0.59562,1.94207,0.15031,0.2401,0.00627,1.57184,0.94288,0.85213,0.91657,0.68582,0.72033,0.57842,0.60578,0.18992,0.87754,3.93829,0.10174,0.46783,0.01244,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,13513.7,0.57995,1.90337,0.14728,0.23443,0.00609,1.52218,0.94085,0.81947,0.90499,0.68369,0.71253,0.55072,0.60431,0.19794,0.91627,4.01596,0.1097,0.53105,0.01317,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,13818.7,0.58218,1.87719,0.14772,0.23298,0.00616,1.49002,0.93896,0.80598,0.90432,0.69249,0.71488,0.5529,0.60102,0.18833,0.92963,4.04318,0.11044,0.55164,0.01342,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,14125.3,0.58094,1.87981,0.14705,0.23746,0.0061,1.44899,0.9488,0.83758,0.90251,0.65789,0.73007,0.57196,0.57565,0.17828,0.93625,3.90802,0.10498,0.50154,0.01341,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,14429.9,0.57147,1.82957,0.14519,0.23423,0.00601,1.40809,0.94266,0.83976,0.907,0.67269,0.72956,0.58041,0.59928,0.18517,0.89978,3.93817,0.11101,0.50013,0.01279,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,14734.8,0.5674,1.81943,0.14515,0.23111,0.00596,1.36103,0.94447,0.83685,0.89254,0.64958,0.70739,0.56484,0.54911,0.16743,0.92546,3.99354,0.10259,0.49204,0.01324,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,15039.6,0.56413,1.8077,0.1449,0.2341,0.00592,1.32222,0.94766,0.82375,0.90782,0.69067,0.70234,0.54085,0.56916,0.18362,0.88307,4.01149,0.10524,0.5047,0.01252,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,15345.5,0.56155,1.79106,0.14416,0.23219,0.00589,1.30201,0.9438,0.8457,0.91586,0.68479,0.72128,0.56295,0.59822,0.19397,0.90225,3.96975,0.10591,0.47264,0.01283,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
